departamento	costo_procedimiento	numero_personas_atendidas	costo_proc_usuario	code	label
91 - Amazonas	11333589.0	389.0	29135.190231362467	91 	 Amazonas
05 - Antioquia	6666493382.0	222064.0	30020.59488255638	05 	 Antioquia
81 - Arauca	23563926.0	629.0	37462.52146263911	81 	 Arauca
88 - Archipiélago de San Andrés, Providencia y Santa Catalina	1424980.0	55.0	25908.727272727272	88 	 Archipiélago de San Andrés, Providencia y Santa Catalina
08 - Atlántico	1065329825.0	30706.0	34694.51654399792	08 	 Atlántico
11 - Bogotá, D.C.	6318105215.0	183667.0	34399.784474075364	11 	 Bogotá, D.C.
13 - Bolívar	327107505.0	8365.0	39104.30424387328	13 	 Bolívar
15 - Boyacá	933660530.0	22576.0	41356.33105953225	15 	 Boyacá
17 - Caldas	539348554.0	25143.0	21451.241061130335	17 	 Caldas
18 - Caquetá	77385949.0	1664.0	46505.978966346156	18 	 Caquetá
85 - Casanare	43165796.0	1308.0	33001.37308868502	85 	 Casanare
19 - Cauca	295434252.0	6587.0	44851.108547138305	19 	 Cauca
20 - Cesar	160178872.0	3677.0	43562.38020125102	20 	 Cesar
27 - Chocó	52106820.0	772.0	67495.88082901554	27 	 Chocó
25 - Cundinamarca	1270796561.0	35989.0	35310.69385089888	25 	 Cundinamarca
23 - Córdoba	381397577.0	11814.0	32283.526070763503	23 	 Córdoba
94 - Guainía	1723610.0	39.0	44195.1282051282	94 	 Guainía
95 - Guaviare	9634423.0	367.0	26251.83378746594	95 	 Guaviare
41 - Huila	641689511.0	12951.0	49547.48752992047	41 	 Huila
44 - La Guajira	48090492.0	1650.0	29145.752727272727	44 	 La Guajira
47 - Magdalena	194272068.0	6215.0	31258.57892196299	47 	 Magdalena
50 - Meta	260586704.0	8323.0	31309.227922624053	50 	 Meta
52 - Nariño	2211510762.0	43104.0	51306.392956570155	52 	 Nariño
54 - Norte de Santander	208032788.0	11333.0	18356.37412865084	54 	 Norte de Santander
86 - Putumayo	109361415.0	2167.0	50466.7351176742	86 	 Putumayo
63 - Quindio	192537155.0	7417.0	25958.899150599973	63 	 Quindio
66 - Risaralda	463164970.0	15879.0	29168.396624472574	66 	 Risaralda
68 - Santander	656772781.0	23829.0	27561.911158672207	68 	 Santander
70 - Sucre	121883553.0	4069.0	29954.17866797739	70 	 Sucre
73 - Tolima	540437835.0	14382.0	37577.3769294952	73 	 Tolima
76 - Valle del Cauca	1935327306.0	46887.0	41276.415765564016	76 	 Valle del Cauca
97 - Vaupés	1223868.0	64.0	19122.9375	97 	 Vaupés
99 - Vichada	2216440.0	78.0	28415.897435897437	99 	 Vichada
